run,temp,visc
viscosity_Zr400Cu100_dT50K_3/run/step_18,1100.0,0.0163211
viscosity_Zr400Cu100_dT50K_3/run/step_16,1200.0,0.00973792
viscosity_Zr400Cu100_dT50K_3/run/step_36,200.0,6.34656
viscosity_Zr400Cu100_dT50K_3/run/step_35,250.0,4.66888
viscosity_Zr400Cu100_dT50K_3/run/step_26,700.0,1.76328
viscosity_Zr400Cu100_dT50K_3/run/step_0,2000.0,0.00264542
viscosity_Zr400Cu100_dT50K_3/run/step_2,1900.0,0.00272061
viscosity_Zr400Cu100_dT50K_3/run/step_15,1250.0,0.00876367
viscosity_Zr400Cu100_dT50K_3/run/step_4,1800.0,0.0030539
viscosity_Zr400Cu100_dT50K_3/run/step_33,350.0,3.41618
viscosity_Zr400Cu100_dT50K_3/run/step_17,1150.0,0.0128934
viscosity_Zr400Cu100_dT50K_3/run/step_24,800.0,0.97809
viscosity_Zr400Cu100_dT50K_3/run/step_6,1700.0,0.00436991
viscosity_Zr400Cu100_dT50K_3/run/step_3,1850.0,0.0027754
viscosity_Zr400Cu100_dT50K_3/run/step_22,900.0,0.105044
viscosity_Al0Cu200Zr300_dT50K_0/run/step_7,1650.0,0.00310239
viscosity_Al0Cu200Zr300_dT50K_0/run/step_1,1950.0,0.00297927
viscosity_Al0Cu200Zr300_dT50K_0/run/step_29,550.0,2.2857
viscosity_Al0Cu200Zr300_dT50K_0/run/step_30,500.0,1.03155
viscosity_Al0Cu200Zr300_dT50K_0/run/step_13,1350.0,0.00491333
viscosity_Al0Cu200Zr300_dT50K_0/run/step_5,1750.0,0.0029578
viscosity_Al0Cu200Zr300_dT50K_0/run/step_11,1450.0,0.00420944
viscosity_Al0Cu200Zr300_dT50K_0/run/step_14,1300.0,0.0059942
viscosity_Al0Cu200Zr300_dT50K_0/run/step_37,150.0,9.98038
viscosity_Al0Cu200Zr300_dT50K_0/run/step_20,1000.0,0.0186938
viscosity_Al0Cu200Zr300_dT50K_0/run/step_21,950.0,0.0354153
viscosity_Al0Cu200Zr300_dT50K_0/run/step_19,1050.0,0.0132495
viscosity_Al0Cu200Zr300_dT50K_0/run/step_38,100.0,15.9703
viscosity_Al0Cu200Zr300_dT50K_0/run/step_27,650.0,1.81106
viscosity_Al0Cu200Zr300_dT50K_0/run/step_31,450.0,1.54143
viscosity_Al0Cu200Zr300_dT50K_0/run/step_28,600.0,0.802195
viscosity_Al0Cu200Zr300_dT50K_0/run/step_10,1500.0,0.00390807
viscosity_Al0Cu200Zr300_dT50K_0/run/step_23,850.0,0.108297
